bull_gate,lift_vs_base,bear_win,bear_tpy,bull_win,bull_tpy,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
aoi_time_since_last_touch>=49.0,0.0821,0.5029,74.8,0.4724,23.3,686,98.1,0.4956,0.4891,11,1.974
session_directional_bias<=-1.91,0.0819,0.5029,74.8,0.464,17.9,648,92.6,0.4954,0.492,11,1.981
aoi_far_edge_atr<=1.2,0.0807,0.5029,74.8,0.4663,23.3,686,98.1,0.4942,0.4873,10,1.969
recent_trend_payoff_atr_48h<=-6.08,0.0785,0.5029,74.8,0.4573,23.4,687,98.2,0.492,0.4863,11,1.968
session_directional_bias>=0.83,0.078,0.5029,74.8,0.4435,17.7,647,92.5,0.4915,0.4807,10,1.951
aoi_height_atr<=0.95,0.0778,0.5029,74.8,0.454,23.3,686,98.1,0.4913,0.4939,10,1.996
max_retest_penetration_atr<=0.3,0.0771,0.5029,74.8,0.4524,24.0,691,98.8,0.4906,0.4796,11,1.949
aoi_near_edge_atr<=0.06,0.0771,0.5029,74.8,0.4524,24.0,691,98.8,0.4906,0.4766,10,1.941
aoi_midpoint_range_position_mid>=0.9,0.0761,0.5029,74.8,0.443,21.3,672,96.1,0.4896,0.4704,11,1.924
distance_to_next_htf_obstacle_atr<=0.08,0.0748,0.5029,74.8,0.4417,23.3,686,98.1,0.4883,0.4709,11,1.93
recent_trend_payoff_atr_48h>=5.88,0.0748,0.5029,74.8,0.4417,23.3,686,98.1,0.4883,0.4666,10,1.915
distance_from_last_impulse_atr>=4.17,0.0748,0.5029,74.8,0.4417,23.3,686,98.1,0.4883,0.4699,12,1.924
signal_candle_opposite_extreme_atr<=0.41,0.0741,0.5029,74.8,0.4383,23.2,685,97.9,0.4876,0.4644,11,1.909
session_directional_bias>=0.2,0.0721,0.5029,74.8,0.4566,44.5,834,119.2,0.4856,0.4642,12,1.909
signal_candle_opposite_extreme_atr<=0.58,0.0644,0.5029,74.8,0.4455,57.8,927,132.5,0.4779,0.4349,13,1.835
aoi_height_atr<=1.12,0.064,0.5029,74.8,0.4453,58.8,934,133.5,0.4775,0.4533,11,1.891
break_impulse_body_atr<=0.37,0.0638,0.5029,74.8,0.4439,57.3,924,132.1,0.4773,0.433,11,1.83
aoi_near_edge_atr<=0.14,0.0626,0.5029,74.8,0.4411,57.0,922,131.8,0.4761,0.432,10,1.828
distance_from_last_impulse_atr<=0.38,0.0612,0.5029,74.8,0.4384,58.0,929,132.8,0.4747,0.4253,13,1.811
aoi_far_edge_atr<=1.43,0.0607,0.5029,74.8,0.4377,58.5,932,133.2,0.4742,0.4312,9,1.829
