group,direction,zone,sl_model,window,hours,n,tpy,win,exp,mls,pf
jpy_pairs,bearish,discount,SL_ATR_0_5,h06+3h,"[6, 7, 8]",41,5.9,58.54,0.7561,3,2.824
jpy_pairs,bearish,premium,SL_AOI_FAR_PLUS_0_25,h04+3h,"[4, 5, 6]",20,2.9,70.0,1.1,2,4.667
jpy_pairs,bullish,discount,SL_ATR_1_5,h21+7h,"[0, 1, 2, 3, 21, 22, 23]",19,2.7,68.42,1.0698,2,4.582
jpy_pairs,bullish,premium,SL_AOI_NEAR_PLUS_0_25,h04+3h,"[4, 5, 6]",54,7.7,46.3,0.3889,5,1.724
usd_majors,bearish,discount,SL_AOI_NEAR_PLUS_0_25,h13+3h,"[13, 14, 15]",59,8.4,52.54,0.6037,4,2.345
usd_majors,bearish,premium,SL_SIGNAL_CANDLE,h16+3h,"[16, 17, 18]",22,3.1,59.09,0.7727,3,2.889
usd_majors,bullish,discount,SL_AOI_FAR,h14+3h,"[14, 15, 16]",15,2.1,66.67,1.1423,2,5.284
usd_majors,bullish,premium,SL_ATR_1_0,h12+3h,"[12, 13, 14]",21,3.0,57.14,0.7143,3,2.667
eur_crosses,bearish,discount,SL_AOI_FAR,h17+3h,"[17, 18, 19]",21,3.0,57.14,0.7143,4,2.667
eur_crosses,bearish,premium,SL_AOI_FAR,h01+4h,"[1, 2, 3, 4]",15,2.1,73.33,1.2,1,5.5
eur_crosses,bullish,discount,SL_ATR_1_5,h01+3h,"[1, 2, 3]",20,2.9,55.0,0.65,4,2.444
eur_crosses,bullish,premium,SL_AOI_NEAR_PLUS_0_25,h12+3h,"[12, 13, 14]",35,5.0,57.14,0.7379,4,2.822
gbp_crosses,bearish,discount,SL_ATR_2_0,h02+3h,"[2, 3, 4]",16,2.3,75.0,1.25,1,6.0
gbp_crosses,bearish,premium,SL_AOI_FAR,h15+3h,"[15, 16, 17]",22,3.1,63.64,0.9091,3,3.5
gbp_crosses,bullish,discount,SL_SIGNAL_CANDLE_PLUS_0_25,h05+7h,"[5, 6, 7, 8, 9, 10, 11]",16,2.3,68.75,1.1892,1,5.757
gbp_crosses,bullish,premium,SL_ATR_1_0,h12+3h,"[12, 13, 14]",25,3.6,56.0,0.68,2,2.545
commodity,bearish,discount,SL_AOI_FAR,h07+3h,"[7, 8, 9]",16,2.3,62.5,0.875,3,3.333
commodity,bearish,premium,SL_AOI_NEAR_PLUS_0_25,h16+3h,"[16, 17, 18]",17,2.4,64.71,0.9412,1,3.667
commodity,bullish,discount,SL_ATR_1_0,h01+5h,"[1, 2, 3, 4, 5]",21,3.0,61.9,0.8571,2,3.25
commodity,bullish,premium,SL_AOI_NEAR_PLUS_0_25,h21+3h,"[21, 22, 23]",119,17.0,38.66,0.1701,9,1.281
