group,sl_model,window,window_hours,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
jpy_pairs,SL_ATR_1_0,h12+3h,"[12, 13, 14]",945,135.1,0.3862,0.1616,11,1.264
jpy_pairs,SL_AOI_NEAR_PLUS_0_25,h13+3h,"[13, 14, 15]",928,132.7,0.3772,0.1358,13,1.219
jpy_pairs,SL_ATR_1_0,h13+3h,"[13, 14, 15]",928,132.7,0.3761,0.1302,11,1.209
jpy_pairs,SL_AOI_NEAR_PLUS_0_5,h12+3h,"[12, 13, 14]",945,135.1,0.3757,0.1419,16,1.23
jpy_pairs,SL_SIGNAL_CANDLE,h12+3h,"[12, 13, 14]",945,135.1,0.3757,0.1579,16,1.259
jpy_pairs,SL_ATR_1_0,h12+4h,"[12, 13, 14, 15]",1219,174.3,0.3749,0.1269,14,1.204
jpy_pairs,SL_AOI_NEAR_PLUS_0_25,h12+3h,"[12, 13, 14]",945,135.1,0.3746,0.1311,14,1.211
jpy_pairs,SL_ATR_0_5,h12+3h,"[12, 13, 14]",945,135.1,0.3746,0.1238,13,1.198
jpy_pairs,SL_ATR_1_5,h12+3h,"[12, 13, 14]",945,135.1,0.3746,0.1475,12,1.241
jpy_pairs,SL_ATR_0_5,h13+3h,"[13, 14, 15]",928,132.7,0.3739,0.1218,12,1.194
usd_majors,SL_AOI_NEAR_PLUS_0_25,h21+3h,"[21, 22, 23]",535,76.5,0.3682,0.1071,16,1.17
usd_majors,SL_AOI_NEAR_PLUS_0_5,h21+3h,"[21, 22, 23]",535,76.5,0.3551,0.0678,16,1.105
eur_crosses,SL_AOI_FAR,h23+3h,"[23, 0, 1]",581,83.1,0.3701,0.1443,12,1.236
eur_crosses,SL_AOI_FAR,h01+4h,"[1, 2, 3, 4]",637,91.1,0.3689,0.1459,16,1.24
eur_crosses,SL_ATR_1_5,h01+4h,"[1, 2, 3, 4]",637,91.1,0.3689,0.1111,14,1.177
eur_crosses,SL_AOI_FAR,h00+5h,"[0, 1, 2, 3, 4]",831,118.8,0.367,0.1401,21,1.23
eur_crosses,SL_AOI_FAR,h00+3h,"[0, 1, 2]",572,81.8,0.3654,0.1305,14,1.212
eur_crosses,SL_ATR_1_5,h00+5h,"[0, 1, 2, 3, 4]",831,118.8,0.3646,0.1012,12,1.16
eur_crosses,SL_ATR_1_5,h01+5h,"[1, 2, 3, 4, 5]",803,114.8,0.3624,0.0907,18,1.143
eur_crosses,SL_AOI_FAR,h23+6h,"[23, 0, 1, 2, 3, 4]",1019,145.7,0.3621,0.1213,19,1.196
eur_crosses,SL_AOI_FAR,h00+6h,"[0, 1, 2, 3, 4, 5]",997,142.5,0.3601,0.1167,20,1.189
eur_crosses,SL_ATR_1_5,h00+3h,"[0, 1, 2]",572,81.8,0.3601,0.0861,9,1.135
gbp_crosses,SL_ATR_1_0,h03+3h,"[3, 4, 5]",380,54.3,0.3579,0.0737,10,1.115
